,Manufacturing_Value,Month_year
1244,186.9,09-2016
1245,186.7,10-2016
1246,186.3,11-2016
1247,188.2,12-2016
1248,190.7,01-2017
1249,191.6,02-2017
1250,191.5,03-2017
1251,193.0,04-2017
1252,192.8,05-2017
1253,193.6,06-2017
1254,193.5,07-2017
1255,193.8,08-2017
1256,194.8,09-2017
1257,194.9,10-2017
1258,195.9,11-2017
1259,196.3,12-2017
1260,197.9,01-2018
1261,199.3,02-2018
1262,199.3,03-2018
1263,200.3,04-2018
1264,203.2,05-2018
1265,204.2,06-2018
1266,204.3,07-2018
1267,203.4,08-2018
1268,203.6,09-2018
1269,204.6,10-2018
1270,202.3,11-2018
1271,201.0,12-2018
1272,199.1,01-2019
1273,199.2,02-2019
1274,200.8,03-2019
1275,202.1,04-2019
1276,201.7,05-2019
1277,200.3,06-2019
1278,200.7,07-2019
1279,199.2,08-2019
1280,198.4,09-2019
1281,198.6,10-2019
1282,199.0,11-2019
1283,199.0,12-2019
1284,199.3,01-2020
1285,196.7,02-2020
1286,193.1,03-2020
1287,185.5,04-2020
1288,188.6,05-2020
1289,191.2,06-2020
1290,193.0,07-2020
1291,194.3,08-2020
1292,195.5,09-2020
1293,196.5,10-2020
1294,198.3,11-2020
1295,200.5,12-2020
1296,204.8,01-2021
1297,210.6,02-2021
1298,215.0,03-2021
1299,217.9,04-2021
1300,224.9,05-2021
1301,228.9,06-2021
1302,231.85,07-2021
1303,233.415,08-2021
1304,235.678,09-2021
1305,240.465,10-2021
1306,243.287,11-2021
1307,241.338,12-2021
1308,246.453,01-2022
1309,252.66,02-2022
1310,260.014,03-2022
1311,265.31,04-2022
1312,273.251,05-2022
1313,280.251,06-2022
1314,272.274,07-2022
1315,269.546,08-2022
1316,267.898,09-2022
1317,265.026,10-2022
1318,263.238,11-2022
1319,257.876,12-2022
1320,259.904,01-2023
