,Manufacturing_Value,Month_year
289,14.9,02-1937
290,15.1,03-1937
291,15.2,04-1937
292,15.1,05-1937
293,15.0,06-1937
294,15.2,07-1937
295,15.1,08-1937
296,15.1,09-1937
297,14.7,10-1937
298,14.4,11-1937
299,14.1,12-1937
300,14.0,01-1938
301,13.8,02-1938
302,13.7,03-1938
303,13.5,04-1938
304,13.5,05-1938
305,13.5,06-1938
306,13.6,07-1938
307,13.4,08-1938
308,13.5,09-1938
309,13.4,10-1938
310,13.4,11-1938
311,13.3,12-1938
312,13.3,01-1939
313,13.3,02-1939
314,13.2,03-1939
315,13.1,04-1939
316,13.1,05-1939
317,13.0,06-1939
318,13.0,07-1939
319,12.9,08-1939
320,13.6,09-1939
321,13.7,10-1939
322,13.6,11-1939
323,13.7,12-1939
324,13.7,01-1940
325,13.6,02-1940
326,13.5,03-1940
327,13.5,04-1940
328,13.5,05-1940
329,13.4,06-1940
330,13.4,07-1940
331,13.4,08-1940
332,13.4,09-1940
333,13.6,10-1940
334,13.7,11-1940
335,13.8,12-1940
336,13.9,01-1941
337,13.9,02-1941
338,14.0,03-1941
339,14.4,04-1941
340,14.6,05-1941
341,15.0,06-1941
342,15.3,07-1941
343,15.6,08-1941
344,15.8,09-1941
345,15.9,10-1941
346,15.9,11-1941
347,16.2,12-1941
348,16.5,01-1942
349,16.7,02-1942
350,16.8,03-1942
351,17.0,04-1942
352,17.0,05-1942
353,17.0,06-1942
354,17.0,07-1942
355,17.1,08-1942
356,17.2,09-1942
357,17.2,10-1942
358,17.3,11-1942
359,17.4,12-1942
360,17.5,01-1943
361,17.7,02-1943
362,17.8,03-1943
363,17.9,04-1943
364,17.9,05-1943
365,17.9,06-1943
366,17.8,07-1943
367,17.8,08-1943
368,17.8,09-1943
369,17.8,10-1943
370,17.7,11-1943
371,17.8,12-1943
372,17.8,01-1944
373,17.8,02-1944
374,17.9,03-1944
375,17.9,04-1944
376,17.9,05-1944
377,18.0,06-1944
378,17.9,07-1944
379,17.9,08-1944
380,17.9,09-1944
381,17.9,10-1944
382,18.0,11-1944
383,18.0,12-1944
384,18.1,01-1945
385,18.1,02-1945
386,18.1,03-1945
387,18.2,04-1945
388,18.3,05-1945
389,18.3,06-1945
390,18.3,07-1945
391,18.2,08-1945
392,18.1,09-1945
393,18.2,10-1945
394,18.4,11-1945
395,18.4,12-1945
396,18.4,01-1946
397,18.5,02-1946
398,18.8,03-1946
399,19.0,04-1946
400,19.1,05-1946
401,19.4,06-1946
402,21.5,07-1946
403,22.2,08-1946
404,21.4,09-1946
405,23.1,10-1946
406,24.1,11-1946
407,24.3,12-1946
408,24.5,01-1947
409,24.7,02-1947
410,25.3,03-1947
411,25.1,04-1947
412,25.0,05-1947
413,25.0,06-1947
414,25.3,07-1947
415,25.6,08-1947
416,26.1,09-1947
417,26.4,10-1947
418,26.7,11-1947
419,27.2,12-1947
420,27.7,01-1948
421,27.2,02-1948
422,27.2,03-1948
423,27.4,04-1948
424,27.5,05-1948
425,27.7,06-1948
426,28.0,07-1948
427,28.2,08-1948
428,28.1,09-1948
429,27.8,10-1948
430,27.8,11-1948
431,27.6,12-1948
432,27.3,01-1949
433,26.8,02-1949
434,26.8,03-1949
435,26.5,04-1949
436,26.3,05-1949
437,26.0,06-1949
438,26.0,07-1949
439,26.0,08-1949
440,26.1,09-1949
441,26.0,10-1949
442,26.0,11-1949
443,25.9,12-1949
444,25.9,01-1950
445,26.1,02-1950
446,26.1,03-1950
447,26.1,04-1950
448,26.4,05-1950
449,26.6,06-1950
450,27.3,07-1950
451,27.9,08-1950
452,28.4,09-1950
453,28.6,10-1950
454,29.0,11-1950
455,29.7,12-1950
456,30.5,01-1951
457,30.9,02-1951
458,30.9,03-1951
459,30.8,04-1951
460,30.7,05-1951
461,30.5,06-1951
462,30.3,07-1951
463,30.1,08-1951
464,30.1,09-1951
465,30.1,10-1951
466,30.1,11-1951
467,30.1,12-1951
468,30.0,01-1952
469,29.8,02-1952
470,29.8,03-1952
471,29.6,04-1952
472,29.6,05-1952
473,29.5,06-1952
474,29.6,07-1952
475,29.8,08-1952
476,29.6,09-1952
477,29.5,10-1952
478,29.3,11-1952
479,29.1,12-1952
480,29.1,01-1953
481,29.1,02-1953
482,29.2,03-1953
483,29.0,04-1953
484,29.1,05-1953
485,29.0,06-1953
486,29.4,07-1953
487,29.3,08-1953
488,29.4,09-1953
489,29.2,10-1953
490,29.1,11-1953
491,29.2,12-1953
492,29.4,01-1954
493,29.3,02-1954
494,29.3,03-1954
495,29.4,04-1954
496,29.4,05-1954
497,29.2,06-1954
498,29.3,07-1954
499,29.3,08-1954
500,29.2,09-1954
501,29.1,10-1954
502,29.2,11-1954
503,29.0,12-1954
504,29.2,01-1955
505,29.3,02-1955
506,29.2,03-1955
507,29.3,04-1955
508,29.1,05-1955
509,29.3,06-1955
510,29.3,07-1955
511,29.4,08-1955
512,29.6,09-1955
513,29.6,10-1955
514,29.5,11-1955
515,29.5,12-1955
516,29.7,01-1956
517,29.8,02-1956
518,29.9,03-1956
519,30.1,04-1956
520,30.3,05-1956
521,30.3,06-1956
522,30.2,07-1956
523,30.4,08-1956
524,30.6,09-1956
525,30.6,10-1956
526,30.7,11-1956
527,30.8,12-1956
528,31.0,01-1957
529,31.0,02-1957
530,31.0,03-1957
531,31.1,04-1957
532,31.0,05-1957
533,31.1,06-1957
534,31.3,07-1957
535,31.4,08-1957
536,31.3,09-1957
537,31.2,10-1957
538,31.3,11-1957
539,31.4,12-1957
540,31.5,01-1958
541,31.5,02-1958
542,31.7,03-1958
543,31.6,04-1958
544,31.7,05-1958
545,31.6,06-1958
546,31.6,07-1958
547,31.6,08-1958
548,31.6,09-1958
549,31.5,10-1958
550,31.6,11-1958
551,31.6,12-1958
552,31.7,01-1959
553,31.7,02-1959
554,31.7,03-1959
555,31.8,04-1959
556,31.8,05-1959
557,31.7,06-1959
558,31.7,07-1959
559,31.6,08-1959
560,31.7,09-1959
561,31.6,10-1959
562,31.5,11-1959
563,31.5,12-1959
564,31.6,01-1960
565,31.6,02-1960
566,31.8,03-1960
567,31.8,04-1960
568,31.7,05-1960
569,31.7,06-1960
570,31.7,07-1960
571,31.6,08-1960
572,31.6,09-1960
573,31.7,10-1960
574,31.7,11-1960
575,31.7,12-1960
576,31.8,01-1961
577,31.8,02-1961
578,31.8,03-1961
579,31.6,04-1961
580,31.5,05-1961
581,31.3,06-1961
582,31.5,07-1961
583,31.5,08-1961
584,31.5,09-1961
585,31.5,10-1961
586,31.5,11-1961
587,31.6,12-1961
588,31.7,01-1962
589,31.7,02-1962
590,31.7,03-1962
591,31.6,04-1962
592,31.5,05-1962
593,31.5,06-1962
594,31.6,07-1962
595,31.6,08-1962
596,31.9,09-1962
597,31.7,10-1962
598,31.7,11-1962
599,31.6,12-1962
600,31.6,01-1963
601,31.5,02-1963
602,31.5,03-1963
603,31.4,04-1963
604,31.5,05-1963
605,31.6,06-1963
606,31.7,07-1963
607,31.6,08-1963
608,31.6,09-1963
609,31.6,10-1963
610,31.7,11-1963
611,31.6,12-1963
612,31.8,01-1964
613,31.6,02-1964
614,31.6,03-1964
615,31.6,04-1964
616,31.5,05-1964
617,31.5,06-1964
618,31.6,07-1964
619,31.6,08-1964
620,31.7,09-1964
621,31.7,10-1964
622,31.7,11-1964
623,31.7,12-1964
624,31.8,01-1965
625,31.9,02-1965
626,31.9,03-1965
627,32.0,04-1965
628,32.1,05-1965
629,32.4,06-1965
630,32.4,07-1965
631,32.4,08-1965
632,32.4,09-1965
633,32.5,10-1965
634,32.6,11-1965
635,32.8,12-1965
636,32.9,01-1966
637,33.2,02-1966
638,33.2,03-1966
639,33.2,04-1966
640,33.2,05-1966
641,33.3,06-1966
642,33.5,07-1966
643,33.6,08-1966
644,33.6,09-1966
645,33.4,10-1966
646,33.3,11-1966
647,33.3,12-1966
648,33.4,01-1967
649,33.4,02-1967
650,33.3,03-1967
651,33.1,04-1967
652,33.3,05-1967
653,33.5,06-1967
654,33.5,07-1967
655,33.4,08-1967
656,33.4,09-1967
657,33.4,10-1967
658,33.4,11-1967
659,33.7,12-1967
660,33.8,01-1968
661,34.0,02-1968
662,34.1,03-1968
663,34.1,04-1968
664,34.2,05-1968
665,34.2,06-1968
666,34.3,07-1968
667,34.2,08-1968
668,34.4,09-1968
669,34.4,10-1968
670,34.5,11-1968
671,34.6,12-1968
672,34.8,01-1969
673,35.0,02-1969
674,35.2,03-1969
675,35.3,04-1969
676,35.5,05-1969
677,35.7,06-1969
678,35.8,07-1969
679,35.7,08-1969
680,35.8,09-1969
681,35.9,10-1969
682,36.1,11-1969
683,36.3,12-1969
684,36.5,01-1970
685,36.7,02-1970
686,36.7,03-1970
687,36.8,04-1970
688,36.8,05-1970
689,36.9,06-1970
690,37.1,07-1970
691,36.9,08-1970
692,37.1,09-1970
693,37.1,10-1970
694,37.1,11-1970
